Name,IRAQ 5.8 01/15/28 CORP
BB ,EF230685 Corp
start,1/1/2006
end,7/3/2013
date,BLP_Z_SPRD_MID
9/30/2009,526.274
10/1/2009,540.273
10/2/2009,541.222
10/5/2009,534.162
10/6/2009,522.578
10/7/2009,524.163
10/8/2009,515.527
10/9/2009,492.848
10/12/2009,497.986
10/13/2009,501.97
10/14/2009,490.762
10/15/2009,482.189
10/16/2009,481.353
10/19/2009,486.321
10/20/2009,493.792
10/21/2009,486.898
10/22/2009,482.62
10/23/2009,475.87
10/26/2009,467.617
10/27/2009,477.872
10/28/2009,495.584
10/29/2009,495.035
10/30/2009,508.497
11/2/2009,510.363
11/3/2009,508.431
11/4/2009,506.179
11/5/2009,506.866
11/6/2009,507.174
11/9/2009,513.203
11/10/2009,508.816
11/11/2009,514.209
11/12/2009,511.943
11/13/2009,518.304
11/16/2009,525.74
11/17/2009,527.396
11/18/2009,521.262
11/19/2009,524.294
11/20/2009,521.944
11/23/2009,518.604
11/24/2009,524.017
11/25/2009,528.706
11/26/2009,532.267
11/27/2009,545.596
11/30/2009,543.236
12/1/2009,535.49
12/2/2009,532.281
12/3/2009,520.446
12/4/2009,503.721
12/7/2009,505.396
12/8/2009,513.453
12/9/2009,510.218
12/10/2009,507.181
12/11/2009,501.067
12/14/2009,500.052
12/15/2009,465.62
12/16/2009,467.618
12/17/2009,473.007
12/18/2009,471.143
12/21/2009,459.214
12/22/2009,451.59
12/23/2009,452.654
12/24/2009,443.939
12/25/2009,450.186
12/28/2009,449.744
12/29/2009,450.007
12/30/2009,445.813
12/31/2009,445.034
1/1/2010,447.165
1/4/2010,436.861
1/5/2010,437.346
1/6/2010,395.182
1/7/2010,387.023
1/8/2010,359.77
1/11/2010,354.568
1/12/2010,364.429
1/13/2010,363.242
1/14/2010,379.466
1/15/2010,390.355
1/18/2010,386.544
1/19/2010,386.554
1/20/2010,394.829
1/21/2010,430.421
1/22/2010,430.486
1/25/2010,430.933
1/26/2010,432.579
1/27/2010,434.098
1/28/2010,438.038
1/29/2010,452.265
2/1/2010,443.949
2/2/2010,414.24
2/3/2010,411.014
2/4/2010,430.629
2/5/2010,451.751
2/8/2010,454.081
2/9/2010,453.957
2/10/2010,443.957
2/11/2010,454.942
2/12/2010,460.392
2/15/2010,461.842
2/16/2010,460.531
2/17/2010,446.437
2/18/2010,439.47
2/19/2010,437.547
2/22/2010,434.346
2/23/2010,440.429
2/24/2010,449.411
2/25/2010,455.819
2/26/2010,459.96
3/1/2010,453.023
3/2/2010,449.427
3/3/2010,440.067
3/4/2010,429.694
3/5/2010,413.062
3/8/2010,402.205
3/9/2010,391.579
3/10/2010,388.033
3/11/2010,386.358
3/12/2010,386.809
3/15/2010,387.568
3/16/2010,392.812
3/17/2010,393.427
3/18/2010,395.728
3/19/2010,398.453
3/22/2010,401.779
3/23/2010,405.865
3/24/2010,404.142
3/25/2010,403.569
3/26/2010,408.454
3/29/2010,404.566
3/30/2010,407.845
3/31/2010,407.177
4/1/2010,401.753
4/2/2010,392.436
4/5/2010,385.281
